"FID","SRC_AGENCY","FIRE_ID","LATITUDE","LONGITUDE","YEAR","MONTH","DAY","DECADE","SIZE_HA"
"412000","NB","7217","45.789259999999999","-65.090969999999999","2002","7","3","2000-2009","0.100000000000000"
"412001","NB","7227","45.716200000000001","-64.852969999999999","2002","7","5","2000-2009","0.100000000000000"
"412002","NB","7305","45.470810000000000","-65.715019999999996","2002","8","26","2000-2009","0.700000000000000"
"412003","NB","7498","45.352530000000002","-65.840419999999995","2003","6","30","2000-2009","0.100000000000000"
"412004","NB","7637","45.334650000000003","-65.859759999999994","2004","4","30","2000-2009","0.600000000000000"
"412005","NB","8117","45.802669999999999","-65.084199999999996","2005","8","19","2000-2009","0.100000000000000"
"412006","NB","8124","45.366470000000000","-65.828019999999995","2005","8","25","2000-2009","0.200000000000000"
"412007","NB","8240","45.443350000000002","-65.721170000000001","2006","4","23","2000-2009","0.200000000000000"
"412008","NB","8483","45.761949999999999","-65.065950000000001","2007","4","23","2000-2009","5.000000000000000"
"412009","NB","9582","45.780230000000003","-65.024799999999999","2008","5","11","2000-2009","2.000000000000000"
"412010","NB","14121","45.605080000000001","-65.246979999999994","2009","8","9","2000-2009","0.100000000000000"
"412011","NB","15843","45.795650000000002","-64.864879999999999","2010","5","24","2010-2019","0.100000000000000"
"412012","NB","15942","45.755229999999997","-64.725210000000004","2010","5","29","2010-2019","0.200000000000000"
"412013","NB","16762","45.791499999999999","-65.100999999999999","2010","8","24","2010-2019","0.100000000000000"
"412014","NB","2013-3-159","45.873849999999997","-64.878299999999996","2013","8","21","2010-2019","0.200000000000000"
"412015","NB","2012-3-162","45.765000000000001","-64.745000000000005","2012","9","3","2010-2019","0.100000000000000"
"412016","NB","2012-3-166","45.703820000000000","-65.195130000000006","2012","10","6","2010-2019","0.100000000000000"
"412017","NB","3-6-91","45.761499999999998","-64.696500000000000","2014","6","4","2010-2019","0.100000000000000"
"412018","NB","3-6-131","45.486499999999999","-65.699330000000003","2016","9","12","2010-2019","0.100000000000000"
"412019","NB","3-6-73","45.757199999999997","-64.688230000000004","2016","4","20","2010-2019","0.500000000000000"
"412020","NB","3-6-134","45.375320000000002","-65.832530000000006","2016","9","25","2010-2019","0.100000000000000"
"412021","NB","3-6-89","45.484980000000000","-65.723969999999994","2016","5","1","2010-2019","2.000000000000000"
"412022","NB","3-6-130","45.761299999999999","-64.948679999999996","2016","9","8","2010-2019","0.100000000000000"
"412023","NB","3-6-117","45.474330000000002","-65.727670000000003","2016","7","5","2010-2019","0.100000000000000"
"412024","NB","3-6-43","45.335470000000001","-65.839179999999999","2017","7","21","2010-2019","0.100000000000000"
"412025","NB","3-6-46","45.782620000000001","-65.092380000000006","2017","7","26","2010-2019","0.200000000000000"
"412026","NB","3-6-56","45.399999999999999","-65.799999999999997","2017","8","4","2010-2019","0.100000000000000"
"412027","NB","3-6-47","45.782629999999997","-65.092399999999998","2017","7","30","2010-2019","0.100000000000000"
